ID,Jenis_Pekerjaan,Tingkat_Aktivitas_Fisik,Rata_rata_Jam_Tidur
1,Kantoran,Rendah,6.0
2,Kantoran,Rendah,7.0
3,Kantoran,Rendah,6.5
4,Kantoran,Sedang,5.5
5,Kantoran,Rendah,7.5
6,Kantoran,Rendah,8.0
7,Kantoran,Sedang,6.0
8,Kantoran,Rendah,7.0
9,Kantoran,Rendah,5.0
10,Kantoran,Sedang,6.5
11,Lapangan,Tinggi,7.0
12,Lapangan,Tinggi,8.0
13,Lapangan,Sedang,8.5
14,Lapangan,Tinggi,7.5
15,Lapangan,Tinggi,6.5
16,Lapangan,Tinggi,7.0
17,Lapangan,Sedang,9.0
18,Lapangan,Tinggi,6.0
19,Lapangan,Tinggi,7.5
20,Lapangan,Tinggi,8.0
